"","V1"
"AbrahamLincoln-1",9
"AbrahamLincoln-2",9
"AndrewJackson-1",10
"AndrewJackson-2",10
"BarackObama-1",8
"BarackObama-2",15
"BenjaminHarrison-1",3
"CalvinCoolidge-1",5
"DonaldJTrump-1",7
"DwightDEisenhower-1",15
"DwightDEisenhower-2",15
"FranklinDRoosevelt-1",5
"FranklinDRoosevelt-2",8
"FranklinDRoosevelt-3",15
"FranklinDRoosevelt-4",15
"FranklinPierce-1",10
"GeorgeBush-1",8
"GeorgeWashington-1",10
"GeorgeWashington-2",10
"GeorgeWBush-1",15
"GeorgeWBush-2",15
"GroverCleveland-I-1",10
"GroverCleveland-II-2",10
"HarrySTruman-1",15
"HerbertHoover-1",5
"JamesBuchanan-1",10
"JamesGarfield-1",10
"JamesKPolk-1",10
"JamesMadison-1",10
"JamesMadison-2",10
"JamesMonroe-1",10
"JamesMonroe-2",10
"JimmyCarter-1",15
"JohnAdams-1",10
"JohnFKennedy-1",15
"JohnQuincyAdams-1",10
"LyndonBJohnson-1",8
"MartinvanBuren-1",10
"RichardNixon-1",15
"RichardNixon-2",8
"RonaldReagan-1",8
"RonaldReagan-2",8
"RutherfordBHayes-1",10
"TheodoreRoosevelt-1",13
"ThomasJefferson-1",10
"ThomasJefferson-2",10
"UlyssesSGrant-1",10
"UlyssesSGrant-2",10
"WarrenGHarding-1",12
"WilliamHenryHarrison-1",10
"WilliamHowardTaft-1",4
"WilliamJClinton-1",8
"WilliamJClinton-2",8
"WilliamMcKinley-1",10
"WilliamMcKinley-2",10
"WoodrowWilson-1",13
"WoodrowWilson-2",13
"ZacharyTaylor-1",10
