"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","power","law","great","countri","world","peopl","govern","time","nation","men"
"2","peopl","congress","war","public","new","civil","state","one","govern","life"
"3","execut","make","state","duti","freedom","good","constitut","work","peac","first"
"4","citizen","busi","unit","everi","peopl","justic","union","citizen","world","thing"
"5","parti","govern","year","interest","peac","servic","right","american","countri","spirit"
"6","govern","polici","made","principl","hope","call","power","everi","econom","good"
"7","patriot","offic","forc","nation","make","demand","object","presid","peopl","know"
"8","well","secur","less","just","live","rest","opinion","today","product","fear"
"9","charact","import","maintain","best","year","sens","protect","heart","effort","task"
"10","act","condit","place","foreign","god","inspir","one","govern","determin","yet"
"11","spirit","proper","commerc","confid","need","great","present","children","purpos","see"
"12","great","question","sinc","honor","great","nation","equal","liberti","continu","action"
"13","howev","enforc","support","institut","faith","wisdom","form","countri","opportun","man"
"14","one","respect","alway","prosper","free","danger","happi","fellow","progress","thought"
"15","exist","larg","effect","time","help","citizen","administr","generat","take","use"
"16","influenc","race","necessari","fellowcitizen","togeth","citizenship","law","never","advanc","well"
"17","relat","administr","part","preserv","histori","purpos","author","chang","individu","carri"
"18","depart","state","improv","limit","come","end","territori","word","system","common"
"19","part","trade","success","secur","right","full","far","dream","support","purpos"
"20","presid","protect","favor","trust","centuri","love","general","renew","respons","cours"
