"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","power","wisdom","law","congress","nation","public","word","new","constitut","govern","everi","republ","men","war","freedom"
"2","parti","hope","peopl","law","world","honor","moment","time","union","state","still","never","thing","year","peac"
"3","never","home","public","secur","justic","common","thank","peopl","case","countri","liberti","order","life","made","world"
"4","howev","commerc","servic","like","econom","mind","mean","today","law","peopl","generat","war","great","forc","know"
"5","spirit","sacr","oblig","busi","progress","happi","done","great","slaveri","right","citizen","inspir","purpos","great","nation"
"6","charact","stand","question","polici","determin","nation","small","govern","one","power","requir","concern","see","found","make"
"7","grant","fulfil","offic","trade","system","success","hand","year","oath","everi","ideal","call","moral","place","peopl"
"8","given","look","demand","race","govern","natur","rememb","world","minor","constitut","servic","industri","polit","parti","hope"
"9","true","sourc","citizen","labor","action","sens","thing","togeth","littl","unit","end","product","come","resourc","free"
"10","possess","conscious","parti","tariff","human","human","back","one","reason","duti","oath","sens","part","highest","need"
"11","presid","firm","elect","reform","advanc","justic","bless","work","say","interest","came","task","task","commerc","man"
"12","member","militari","necess","prevent","continu","sentiment","hard","centuri","anoth","great","choic","promot","spirit","defens","god"
"13","citizen","perform","enforc","south","way","establish","look","chang","precis","one","rest","trade","mind","effect","countri"
"14","control","kind","civil","amend","support","first","mani","american","speak","nation","charact","within","wish","prepar","faith"
"15","effect","mutual","new","offic","economi","solemn","take","heart","deni","protect","defin","administr","wrong","alway","help"
"16","execut","popul","promot","chang","effort","virtu","bring","fellow","destroy","principl","instead","sacrific","set","afford","live"
"17","found","compromis","accept","enterpris","respons","advanc","first","come","evil","union","battl","suprem","industri","duti","life"
"18","instrument","fear","method","appoint","establish","repres","job","citizen","made","time","defend","defens","materi","favor","strength"
"19","other","soil","sure","hope","old","friend","neighbor","children","neither","exist","forth","opportun","someth","thus","seek"
"20","correct","struggl","home","legisl","secur","station","taken","live","perpetu","institut","show","assur","use","extent","believ"
