"","V1"
"AbrahamLincoln-1",12
"AbrahamLincoln-2",10
"AndrewJackson-1",8
"AndrewJackson-2",8
"BarackObama-1",10
"BarackObama-2",10
"BenjaminHarrison-1",8
"CalvinCoolidge-1",8
"DonaldJTrump-1",4
"DwightDEisenhower-1",1
"DwightDEisenhower-2",10
"FranklinDRoosevelt-1",1
"FranklinDRoosevelt-2",10
"FranklinDRoosevelt-3",10
"FranklinDRoosevelt-4",10
"FranklinPierce-1",8
"GeorgeBush-1",10
"GeorgeWashington-1",8
"GeorgeWashington-2",12
"GeorgeWBush-1",10
"GeorgeWBush-2",10
"GroverCleveland-I-1",8
"GroverCleveland-II-2",8
"HarrySTruman-1",1
"HerbertHoover-1",8
"JamesBuchanan-1",12
"JamesGarfield-1",8
"JamesKPolk-1",12
"JamesMadison-1",8
"JamesMadison-2",14
"JamesMonroe-1",8
"JamesMonroe-2",14
"JimmyCarter-1",10
"JohnAdams-1",8
"JohnFKennedy-1",10
"JohnQuincyAdams-1",3
"LyndonBJohnson-1",10
"MartinvanBuren-1",8
"RichardNixon-1",10
"RichardNixon-2",10
"RonaldReagan-1",10
"RonaldReagan-2",10
"RutherfordBHayes-1",8
"TheodoreRoosevelt-1",8
"ThomasJefferson-1",8
"ThomasJefferson-2",8
"UlyssesSGrant-1",8
"UlyssesSGrant-2",8
"WarrenGHarding-1",13
"WilliamHenryHarrison-1",12
"WilliamHowardTaft-1",2
"WilliamJClinton-1",10
"WilliamJClinton-2",10
"WilliamMcKinley-1",8
"WilliamMcKinley-2",8
"WoodrowWilson-1",9
"WoodrowWilson-2",9
"ZacharyTaylor-1",8
